[2017-08-03 12:28:34] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined index: edit',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/ultimate-social-media-plus/ultimate_social_media_icons.php',   'line' => 784, ) [] []
[2017-08-03 12:28:46] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: debug',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 152, ) [] []
[2017-08-03 12:29:37] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: debug',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 152, ) [] []
[2017-08-03 12:29:54] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: debug',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 152, ) [] []
[2017-08-03 12:30:19] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: debug',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 152, ) [] []
[2017-08-03 12:31:23] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: debug',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 152, ) [] []
[2017-08-03 12:33:28] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: debug',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 152, ) [] []
[2017-08-03 12:33:50] xcloner_file_system.INFO: Cleaning the backup storage on matching rules [] []
[2017-08-03 12:33:51] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: debug',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 152, ) [] []
[2017-08-03 12:35:03] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: debug',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 152, ) [] []
[2017-08-03 12:35:32] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined index: edit',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/ultimate-social-media-plus/ultimate_social_media_icons.php',   'line' => 784, ) [] []
[2017-08-03 12:35:42] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: debug',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 152, ) [] []
[2017-08-03 12:36:02] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: debug',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 152, ) [] []
[2017-08-03 12:36:08] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: debug',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 152, ) [] []
[2017-08-03 12:36:24] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined index: deploy_beta',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 328, ) [] []
[2017-08-03 12:37:10] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined index: deploy_beta',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 328, ) [] []
[2017-08-03 12:37:12] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: debug',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 152, ) [] []
[2017-08-03 12:38:11] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined index: deploy_beta',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 328, ) [] []
[2017-08-03 12:39:10] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined index: deploy_beta',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 328, ) [] []
[2017-08-03 12:40:10] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined index: deploy_beta',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 328, ) [] []
[2017-08-03 12:41:10] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined index: deploy_beta',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 328, ) [] []
[2017-08-03 12:41:49] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined index: deploy_beta',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 328, ) [] []
[2017-08-03 12:42:00] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined variable: debug',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 152, ) [] []
[2017-08-03 12:42:08] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined index: edit',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/ultimate-social-media-plus/ultimate_social_media_icons.php',   'line' => 784, ) [] []
[2017-08-03 12:42:14] php_system.INFO: E_WARNING: array (   'type' => 2,   'message' => 'chmod(): No such file or directory',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/duplicator/classes/utilities/class.u.php',   'line' => 480, ) [] []
[2017-08-03 12:42:15] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined index: edit',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/ultimate-social-media-plus/ultimate_social_media_icons.php',   'line' => 784, ) [] []
[2017-08-03 12:42:29] xcloner_file_system.INFO: Delete temporary directory .xcloner-6ffd3 [] []
[2017-08-03 12:42:29] php_system.INFO: E_NOTICE: array (   'type' => 8,   'message' => 'Undefined index: deploy_beta',   'file' => '/home/111659-85720.cloudwaysapps.com/aaurdcqgjp/public_html/wp-content/plugins/qwiz-online-quizzes-and-flashcards/qwiz-online-quizzes-wp-plugin.php',   'line' => 328, ) [] []
